Idx	EyeConf	HR_ROC	Accel_g	Score	Alert
 639	65.0	5.50	2.40	0.409	YES
 640	65.0	6.00	1.00	0.209	YES
 641	65.0	6.00	1.20	0.209	YES
 642	65.0	6.00	1.40	0.249	YES
 643	65.0	6.00	1.60	0.329	YES
 644	65.0	6.00	1.80	0.409	YES
 645	65.0	6.00	2.00	0.409	YES
 646	65.0	6.00	2.20	0.409	YES
 647	65.0	6.00	2.40	0.409	YES
 648	65.0	6.50	1.00	0.209	YES
 649	65.0	6.50	1.20	0.209	YES
 650	65.0	6.50	1.40	0.249	YES
 651	65.0	6.50	1.60	0.329	YES
 652	65.0	6.50	1.80	0.409	YES
 653	65.0	6.50	2.00	0.409	YES
 654	65.0	6.50	2.20	0.409	YES
 655	65.0	6.50	2.40	0.409	YES
 656	65.0	7.00	1.00	0.209	YES
 657	65.0	7.00	1.20	0.209	YES
 658	65.0	7.00	1.40	0.249	YES
 659	65.0	7.00	1.60	0.329	YES
 660	65.0	7.00	1.80	0.409	YES
 661	65.0	7.00	2.00	0.409	YES
 662	65.0	7.00	2.20	0.409	YES
 663	65.0	7.00	2.40	0.409	YES
 664	65.0	7.50	1.00	0.209	YES
 665	65.0	7.50	1.20	0.209	YES
 666	65.0	7.50	1.40	0.249	YES
 667	65.0	7.50	1.60	0.329	YES
 668	65.0	7.50	1.80	0.409	YES
 669	65.0	7.50	2.00	0.409	YES
 670	65.0	7.50	2.20	0.409	YES
 671	65.0	7.50	2.40	0.409	YES
 672	65.0	8.00	1.00	0.209	YES
 673	65.0	8.00	1.20	0.209	YES
 674	65.0	8.00	1.40	0.249	YES
 675	65.0	8.00	1.60	0.329	YES
 676	65.0	8.00	1.80	0.409	YES
 677	65.0	8.00	2.00	0.409	YES
 678	65.0	8.00	2.20	0.409	YES
 679	65.0	8.00	2.40	0.409	YES
 680	70.0	0.00	1.00	0.037	YES
 681	70.0	0.00	1.20	0.037	YES
 682	70.0	0.00	1.40	0.078	YES
 683	70.0	0.00	1.60	0.158	YES
 684	70.0	0.00	1.80	0.237	YES
 685	70.0	0.00	2.00	0.237	YES
 686	70.0	0.00	2.20	0.237	YES
 687	70.0	0.00	2.40	0.237	YES
 688	70.0	0.50	1.00	0.037	YES
 689	70.0	0.50	1.20	0.037	YES
 690	70.0	0.50	1.40	0.078	YES
 691	70.0	0.50	1.60	0.158	YES
 692	70.0	0.50	1.80	0.237	YES
 693	70.0	0.50	2.00	0.237	YES
 694	70.0	0.50	2.20	0.237	YES
 695	70.0	0.50	2.40	0.237	YES
 696	70.0	1.00	1.00	0.037	YES
 697	70.0	1.00	1.20	0.037	YES
 698	70.0	1.00	1.40	0.078	YES
 699	70.0	1.00	1.60	0.158	YES
 700	70.0	1.00	1.80	0.237	YES
 701	70.0	1.00	2.00	0.237	YES
 702	70.0	1.00	2.20	0.237	YES
 703	70.0	1.00	2.40	0.237	YES
 704	70.0	1.50	1.00	0.071	YES
 705	70.0	1.50	1.20	0.071	YES
 706	70.0	1.50	1.40	0.111	YES
 707	70.0	1.50	1.60	0.191	YES
 708	70.0	1.50	1.80	0.271	YES
 709	70.0	1.50	2.00	0.271	YES
 710	70.0	1.50	2.20	0.271	YES
 711	70.0	1.50	2.40	0.271	YES
 712	70.0	2.00	1.00	0.104	YES
 713	70.0	2.00	1.20	0.104	YES
 714	70.0	2.00	1.40	0.144	YES
 715	70.0	2.00	1.60	0.224	YES
 716	70.0	2.00	1.80	0.304	YES
 717	70.0	2.00	2.00	0.304	YES
 718	70.0	2.00	2.20	0.304	YES
 719	70.0	2.00	2.40	0.304	YES
 720	70.0	2.50	1.00	0.138	YES
 721	70.0	2.50	1.20	0.138	YES
 722	70.0	2.50	1.40	0.178	YES
 723	70.0	2.50	1.60	0.257	YES
 724	70.0	2.50	1.80	0.338	YES
 725	70.0	2.50	2.00	0.338	YES
 726	70.0	2.50	2.20	0.338	YES
 727	70.0	2.50	2.40	0.338	YES
 728	70.0	3.00	1.00	0.171	YES
 729	70.0	3.00	1.20	0.171	YES
 730	70.0	3.00	1.40	0.211	YES
 731	70.0	3.00	1.60	0.291	YES
 732	70.0	3.00	1.80	0.371	YES
 733	70.0	3.00	2.00	0.371	YES
 734	70.0	3.00	2.20	0.371	YES
 735	70.0	3.00	2.40	0.371	YES
 736	70.0	3.50	1.00	0.204	YES
 737	70.0	3.50	1.20	0.204	YES
 738	70.0	3.50	1.40	0.244	YES
 739	70.0	3.50	1.60	0.324	YES
 740	70.0	3.50	1.80	0.404	YES
 741	70.0	3.50	2.00	0.404	YES
 742	70.0	3.50	2.20	0.404	YES
 743	70.0	3.50	2.40	0.404	YES
 744	70.0	4.00	1.00	0.237	YES
 745	70.0	4.00	1.20	0.237	YES
 746	70.0	4.00	1.40	0.278	YES
 747	70.0	4.00	1.60	0.358	YES
 748	70.0	4.00	1.80	0.438	YES
 749	70.0	4.00	2.00	0.438	YES
 750	70.0	4.00	2.20	0.438	YES
 751	70.0	4.00	2.40	0.438	YES
 752	70.0	4.50	1.00	0.237	YES
 753	70.0	4.50	1.20	0.237	YES
 754	70.0	4.50	1.40	0.278	YES
 755	70.0	4.50	1.60	0.358	YES
 756	70.0	4.50	1.80	0.438	YES
 757	70.0	4.50	2.00	0.438	YES
 758	70.0	4.50	2.20	0.438	YES
 759	70.0	4.50	2.40	0.438	YES
 760	70.0	5.00	1.00	0.237	YES
 761	70.0	5.00	1.20	0.237	YES
 762	70.0	5.00	1.40	0.278	YES
 763	70.0	5.00	1.60	0.358	YES
 764	70.0	5.00	1.80	0.438	YES
 765	70.0	5.00	2.00	0.438	YES
 766	70.0	5.00	2.20	0.438	YES
 767	70.0	5.00	2.40	0.438	YES
 768	70.0	5.50	1.00	0.237	YES
 769	70.0	5.50	1.20	0.237	YES
 770	70.0	5.50	1.40	0.278	YES
 771	70.0	5.50	1.60	0.358	YES
 772	70.0	5.50	1.80	0.438	YES
 773	70.0	5.50	2.00	0.438	YES
 774	70.0	5.50	2.20	0.438	YES
 775	70.0	5.50	2.40	0.438	YES
 776	70.0	6.00	1.00	0.237	YES
 777	70.0	6.00	1.20	0.237	YES
 778	70.0	6.00	1.40	0.278	YES
 779	70.0	6.00	1.60	0.358	YES
 780	70.0	6.00	1.80	0.438	YES
 781	70.0	6.00	2.00	0.438	YES
 782	70.0	6.00	2.20	0.438	YES
 783	70.0	6.00	2.40	0.438	YES
 784	70.0	6.50	1.00	0.237	YES
 785	70.0	6.50	1.20	0.237	YES
 786	70.0	6.50	1.40	0.278	YES
 787	70.0	6.50	1.60	0.358	YES
 788	70.0	6.50	1.80	0.438	YES
 789	70.0	6.50	2.00	0.438	YES
 790	70.0	6.50	2.20	0.438	YES
 791	70.0	6.50	2.40	0.438	YES
 792	70.0	7.00	1.00	0.237	YES
 793	70.0	7.00	1.20	0.237	YES
 794	70.0	7.00	1.40	0.278	YES
 795	70.0	7.00	1.60	0.358	YES
 796	70.0	7.00	1.80	0.438	YES
 797	70.0	7.00	2.00	0.438	YES
 798	70.0	7.00	2.20	0.438	YES
 799	70.0	7.00	2.40	0.438	YES
 800	70.0	7.50	1.00	0.237	YES
 801	70.0	7.50	1.20	0.237	YES
 802	70.0	7.50	1.40	0.278	YES
 803	70.0	7.50	1.60	0.358	YES
 804	70.0	7.50	1.80	0.438	YES
 805	70.0	7.50	2.00	0.438	YES
 806	70.0	7.50	2.20	0.438	YES
 807	70.0	7.50	2.40	0.438	YES
 808	70.0	8.00	1.00	0.237	YES
 809	70.0	8.00	1.20	0.237	YES
 810	70.0	8.00	1.40	0.278	YES
 811	70.0	8.00	1.60	0.358	YES
 812	70.0	8.00	1.80	0.438	YES
 813	70.0	8.00	2.00	0.438	YES
 814	70.0	8.00	2.20	0.438	YES
 815	70.0	8.00	2.40	0.438	YES
 816	90.0	0.00	1.00	0.338	YES
 817	90.0	0.00	1.20	0.338	YES
 818	90.0	0.00	1.40	0.378	YES
 819	90.0	0.00	1.60	0.458	YES
 820	90.0	0.00	1.80	0.537	YES
 821	90.0	0.00	2.00	0.537	YES
 822	90.0	0.00	2.20	0.537	YES
 823	90.0	0.00	2.40	0.537	YES
 824	90.0	0.50	1.00	0.338	YES
 825	90.0	0.50	1.20	0.338	YES
 826	90.0	0.50	1.40	0.378	YES
 827	90.0	0.50	1.60	0.458	YES
 828	90.0	0.50	1.80	0.537	YES
 829	90.0	0.50	2.00	0.537	YES
 830	90.0	0.50	2.20	0.537	YES
 831	90.0	0.50	2.40	0.537	YES
 832	90.0	1.00	1.00	0.338	YES
 833	90.0	1.00	1.20	0.338	YES
 834	90.0	1.00	1.40	0.378	YES
 835	90.0	1.00	1.60	0.458	YES
 836	90.0	1.00	1.80	0.537	YES
 837	90.0	1.00	2.00	0.537	YES
 838	90.0	1.00	2.20	0.537	YES
 839	90.0	1.00	2.40	0.537	YES
 840	90.0	1.50	1.00	0.371	YES
 841	90.0	1.50	1.20	0.371	YES
 842	90.0	1.50	1.40	0.411	YES
 843	90.0	1.50	1.60	0.491	YES
 844	90.0	1.50	1.80	0.571	YES
 845	90.0	1.50	2.00	0.571	YES
 846	90.0	1.50	2.20	0.571	YES
 847	90.0	1.50	2.40	0.571	YES
 848	90.0	2.00	1.00	0.404	YES
 849	90.0	2.00	1.20	0.404	YES
 850	90.0	2.00	1.40	0.444	YES
 851	90.0	2.00	1.60	0.524	YES
 852	90.0	2.00	1.80	0.604	YES
 853	90.0	2.00	2.00	0.604	YES
 854	90.0	2.00	2.20	0.604	YES
 855	90.0	2.00	2.40	0.604	YES
 856	90.0	2.50	1.00	0.438	YES
 857	90.0	2.50	1.20	0.438	YES
 858	90.0	2.50	1.40	0.478	YES
 859	90.0	2.50	1.60	0.557	YES
 860	90.0	2.50	1.80	0.637	YES
 861	90.0	2.50	2.00	0.637	YES
 862	90.0	2.50	2.20	0.637	YES
 863	90.0	2.50	2.40	0.637	YES
 864	90.0	3.00	1.00	0.471	YES
 865	90.0	3.00	1.20	0.471	YES
 866	90.0	3.00	1.40	0.511	YES
 867	90.0	3.00	1.60	0.591	YES
 868	90.0	3.00	1.80	0.671	YES
 869	90.0	3.00	2.00	0.671	YES
 870	90.0	3.00	2.20	0.671	YES
 871	90.0	3.00	2.40	0.671	YES
 872	90.0	3.50	1.00	0.504	YES
 873	90.0	3.50	1.20	0.504	YES
 874	90.0	3.50	1.40	0.544	YES
 875	90.0	3.50	1.60	0.624	YES
 876	90.0	3.50	1.80	0.704	YES
 877	90.0	3.50	2.00	0.704	YES
 878	90.0	3.50	2.20	0.704	YES
 879	90.0	3.50	2.40	0.704	YES
 880	90.0	4.00	1.00	0.537	YES
 881	90.0	4.00	1.20	0.537	YES
 882	90.0	4.00	1.40	0.577	YES
 883	90.0	4.00	1.60	0.658	YES
 884	90.0	4.00	1.80	0.738	YES
 885	90.0	4.00	2.00	0.738	YES
 886	90.0	4.00	2.20	0.738	YES
 887	90.0	4.00	2.40	0.738	YES
 888	90.0	4.50	1.00	0.537	YES
 889	90.0	4.50	1.20	0.537	YES
 890	90.0	4.50	1.40	0.577	YES
 891	90.0	4.50	1.60	0.658	YES
 892	90.0	4.50	1.80	0.738	YES
 893	90.0	4.50	2.00	0.738	YES
 894	90.0	4.50	2.20	0.738	YES
 895	90.0	4.50	2.40	0.738	YES
 896	90.0	5.00	1.00	0.537	YES
 897	90.0	5.00	1.20	0.537	YES
 898	90.0	5.00	1.40	0.577	YES
 899	90.0	5.00	1.60	0.658	YES
 900	90.0	5.00	1.80	0.738	YES
 901	90.0	5.00	2.00	0.738	YES
 902	90.0	5.00	2.20	0.738	YES
 903	90.0	5.00	2.40	0.738	YES
 904	90.0	5.50	1.00	0.537	YES
 905	90.0	5.50	1.20	0.537	YES
 906	90.0	5.50	1.40	0.577	YES
 907	90.0	5.50	1.60	0.658	YES
 908	90.0	5.50	1.80	0.738	YES
 909	90.0	5.50	2.00	0.738	YES
 910	90.0	5.50	2.20	0.738	YES
 911	90.0	5.50	2.40	0.738	YES
 912	90.0	6.00	1.00	0.537	YES
 913	90.0	6.00	1.20	0.537	YES
 914	90.0	6.00	1.40	0.577	YES
 915	90.0	6.00	1.60	0.658	YES
 916	90.0	6.00	1.80	0.738	YES
 917	90.0	6.00	2.00	0.738	YES
 918	90.0	6.00	2.20	0.738	YES
 919	90.0	6.00	2.40	0.738	YES
 920	90.0	6.50	1.00	0.537	YES
 921	90.0	6.50	1.20	0.537	YES
 922	90.0	6.50	1.40	0.577	YES
 923	90.0	6.50	1.60	0.658	YES
 924	90.0	6.50	1.80	0.738	YES
 925	90.0	6.50	2.00	0.738	YES
 926	90.0	6.50	2.20	0.738	YES
 927	90.0	6.50	2.40	0.738	YES
 928	90.0	7.00	1.00	0.537	YES
 929	90.0	7.00	1.20	0.537	YES
 930	90.0	7.00	1.40	0.577	YES
 931	90.0	7.00	1.60	0.658	YES
 932	90.0	7.00	1.80	0.738	YES
 933	90.0	7.00	2.00	0.738	YES
 934	90.0	7.00	2.20	0.738	YES
 935	90.0	7.00	2.40	0.738	YES
 936	90.0	7.50	1.00	0.537	YES
 937	90.0	7.50	1.20	0.537	YES
 938	90.0	7.50	1.40	0.577	YES
 939	90.0	7.50	1.60	0.658	YES
 940	90.0	7.50	1.80	0.738	YES
 941	90.0	7.50	2.00	0.738	YES
 942	90.0	7.50	2.20	0.738	YES
 943	90.0	7.50	2.40	0.738	YES
 944	90.0	8.00	1.00	0.537	YES
 945	90.0	8.00	1.20	0.537	YES
 946	90.0	8.00	1.40	0.577	YES
 947	90.0	8.00	1.60	0.658	YES
 948	90.0	8.00	1.80	0.738	YES
 949	90.0	8.00	2.00	0.738	YES
 950	90.0	8.00	2.20	0.738	YES
 951	90.0	8.00	2.40	0.738	YES
 952	100.0	0.00	1.00	0.600	YES
 953	100.0	0.00	1.20	0.600	YES
 954	100.0	0.00	1.40	0.640	YES
 955	100.0	0.00	1.60	0.720	YES
 956	100.0	0.00	1.80	0.800	YES
 957	100.0	0.00	2.00	0.800	YES
 958	100.0	0.00	2.20	0.800	YES
 959	100.0	0.00	2.40	0.800	YES
 960	100.0	0.50	1.00	0.600	YES
 961	100.0	0.50	1.20	0.600	YES
 962	100.0	0.50	1.40	0.640	YES
 963	100.0	0.50	1.60	0.720	YES
 964	100.0	0.50	1.80	0.800	YES
 965	100.0	0.50	2.00	0.800	YES
 966	100.0	0.50	2.20	0.800	YES
 967	100.0	0.50	2.40	0.800	YES
 968	100.0	1.00	1.00	0.600	YES
 969	100.0	1.00	1.20	0.600	YES
 970	100.0	1.00	1.40	0.640	YES
 971	100.0	1.00	1.60	0.720	YES
 972	100.0	1.00	1.80	0.800	YES
 973	100.0	1.00	2.00	0.800	YES
 974	100.0	1.00	2.20	0.800	YES
 975	100.0	1.00	2.40	0.800	YES
 976	100.0	1.50	1.00	0.633	YES
 977	100.0	1.50	1.20	0.633	YES
 978	100.0	1.50	1.40	0.673	YES
 979	100.0	1.50	1.60	0.753	YES
 980	100.0	1.50	1.80	0.833	YES
 981	100.0	1.50	2.00	0.833	YES
 982	100.0	1.50	2.20	0.833	YES
 983	100.0	1.50	2.40	0.833	YES
 984	100.0	2.00	1.00	0.667	YES
 985	100.0	2.00	1.20	0.667	YES
 986	100.0	2.00	1.40	0.707	YES
 987	100.0	2.00	1.60	0.787	YES
 988	100.0	2.00	1.80	0.867	YES
 989	100.0	2.00	2.00	0.867	YES
 990	100.0	2.00	2.20	0.867	YES
 991	100.0	2.00	2.40	0.867	YES
 992	100.0	2.50	1.00	0.700	YES
 993	100.0	2.50	1.20	0.700	YES
 994	100.0	2.50	1.40	0.740	YES
 995	100.0	2.50	1.60	0.820	YES
 996	100.0	2.50	1.80	0.900	YES
 997	100.0	2.50	2.00	0.900	YES
 998	100.0	2.50	2.20	0.900	YES
 999	100.0	2.50	2.40	0.900	YES
1000	100.0	3.00	1.00	0.733	YES
1001	100.0	3.00	1.20	0.733	YES
1002	100.0	3.00	1.40	0.773	YES
1003	100.0	3.00	1.60	0.853	YES
1004	100.0	3.00	1.80	0.933	YES
1005	100.0	3.00	2.00	0.933	YES
1006	100.0	3.00	2.20	0.933	YES
1007	100.0	3.00	2.40	0.933	YES
1008	100.0	3.50	1.00	0.767	YES
1009	100.0	3.50	1.20	0.767	YES
1010	100.0	3.50	1.40	0.807	YES
1011	100.0	3.50	1.60	0.887	YES
1012	100.0	3.50	1.80	0.967	YES
1013	100.0	3.50	2.00	0.967	YES
1014	100.0	3.50	2.20	0.967	YES
1015	100.0	3.50	2.40	0.967	YES
1016	100.0	4.00	1.00	0.800	YES
1017	100.0	4.00	1.20	0.800	YES
1018	100.0	4.00	1.40	0.840	YES
1019	100.0	4.00	1.60	0.920	YES
1020	100.0	4.00	1.80	1.000	YES
1021	100.0	4.00	2.00	1.000	YES
1022	100.0	4.00	2.20	1.000	YES
1023	100.0	4.00	2.40	1.000	YES
1024	100.0	4.50	1.00	0.800	YES
1025	100.0	4.50	1.20	0.800	YES
1026	100.0	4.50	1.40	0.840	YES
1027	100.0	4.50	1.60	0.920	YES
1028	100.0	4.50	1.80	1.000	YES
1029	100.0	4.50	2.00	1.000	YES
1030	100.0	4.50	2.20	1.000	YES
1031	100.0	4.50	2.40	1.000	YES
1032	100.0	5.00	1.00	0.800	YES
1033	100.0	5.00	1.20	0.800	YES
1034	100.0	5.00	1.40	0.840	YES
1035	100.0	5.00	1.60	0.920	YES
1036	100.0	5.00	1.80	1.000	YES
1037	100.0	5.00	2.00	1.000	YES
1038	100.0	5.00	2.20	1.000	YES
1039	100.0	5.00	2.40	1.000	YES
1040	100.0	5.50	1.00	0.800	YES
1041	100.0	5.50	1.20	0.800	YES
1042	100.0	5.50	1.40	0.840	YES
1043	100.0	5.50	1.60	0.920	YES
1044	100.0	5.50	1.80	1.000	YES
1045	100.0	5.50	2.00	1.000	YES
1046	100.0	5.50	2.20	1.000	YES
1047	100.0	5.50	2.40	1.000	YES
1048	100.0	6.00	1.00	0.800	YES
1049	100.0	6.00	1.20	0.800	YES
1050	100.0	6.00	1.40	0.840	YES
1051	100.0	6.00	1.60	0.920	YES
1052	100.0	6.00	1.80	1.000	YES
1053	100.0	6.00	2.00	1.000	YES
1054	100.0	6.00	2.20	1.000	YES
1055	100.0	6.00	2.40	1.000	YES
1056	100.0	6.50	1.00	0.800	YES
1057	100.0	6.50	1.20	0.800	YES
1058	100.0	6.50	1.40	0.840	YES
1059	100.0	6.50	1.60	0.920	YES
1060	100.0	6.50	1.80	1.000	YES
1061	100.0	6.50	2.00	1.000	YES
1062	100.0	6.50	2.20	1.000	YES
1063	100.0	6.50	2.40	1.000	YES
1064	100.0	7.00	1.00	0.800	YES
1065	100.0	7.00	1.20	0.800	YES
1066	100.0	7.00	1.40	0.840	YES
1067	100.0	7.00	1.60	0.920	YES
1068	100.0	7.00	1.80	1.000	YES
1069	100.0	7.00	2.00	1.000	YES
1070	100.0	7.00	2.20	1.000	YES
1071	100.0	7.00	2.40	1.000	YES
1072	100.0	7.50	1.00	0.800	YES
1073	100.0	7.50	1.20	0.800	YES
1074	100.0	7.50	1.40	0.840	YES
1075	100.0	7.50	1.60	0.920	YES
1076	100.0	7.50	1.80	1.000	YES
1077	100.0	7.50	2.00	1.000	YES
1078	100.0	7.50	2.20	1.000	YES
1079	100.0	7.50	2.40	1.000	YES
1080	100.0	8.00	1.00	0.800	YES
1081	100.0	8.00	1.20	0.800	YES
1082	100.0	8.00	1.40	0.840	YES
1083	100.0	8.00	1.60	0.920	YES
1084	100.0	8.00	1.80	1.000	YES
1085	100.0	8.00	2.00	1.000	YES
1086	100.0	8.00	2.20	1.000	YES
1087	100.0	8.00	2.40	1.000	YES
